タイトル,町名,内容,緯度,経度,挑戦日,URL
めがねギネス,福井県鯖江市,メガネの鎖で2011m,35.95022404346,136.18326462988,2011-05-05,https://ameblo.jp/gakuren/entry-10907898280.html
ジャンボ和紙,福井県越前市,171平方mの和紙,35.9146011688,136.2448581248,2022-10-02,https://www.fukuishimbun.co.jp/articles/-/1641201
モザイク・サバアート,福井県大野市,41.99平方mのサバ寿司,35.9840144556,136.4869931481,2015-01-31,https://www.guinnessworldrecords.jp/news/2015/2/sushi
最大のちらし寿司,福井県高浜町,375kgのちらし寿司,35.4877403088,135.54591575,2019-03-16,https://www.guinnessworldrecords.jp/world-records/91501-largest-chirashizushi
最長の塗り箸,福井県若狭町,8.4mの塗り箸,35.54875876572,135.9081874446,2009-03-22,https://www.guinnessworldrecords.jp/world-records/largest-chopsticks
